type,depth,arity,density
natural,10,0.9642857142857143,0.03571428571428571
random,7,0.9642857142857143,0.03571428571428571
natural,3,0.9230769230769231,0.07692307692307693
random,6,0.9230769230769231,0.07692307692307693
natural,8,0.9705882352941176,0.029411764705882353
random,7,0.9705882352941176,0.029411764705882353
natural,13,0.972972972972973,0.02702702702702703
random,9,0.972972972972973,0.02702702702702703
natural,7,0.9333333333333333,0.06666666666666667
random,4,0.9333333333333333,0.06666666666666667
natural,7,0.9565217391304348,0.043478260869565216
random,4,0.9565217391304348,0.043478260869565216
natural,3,0.9565217391304348,0.043478260869565216
random,4,0.9565217391304348,0.043478260869565216
natural,4,0.95,0.05
random,6,0.95,0.05
natural,3,0.9375,0.0625
random,5,0.9375,0.0625
natural,3,0.9,0.1
random,3,0.9,0.1
natural,1,0.6666666666666666,0.3333333333333333
